,auteur
2101,Romain Chiron (avec P.D.)
2102,C.L.
2103,Robin Korda
2104,Élodie Soulié
2105,J.M. avec AFP
2106,Christine Mateus
2107,Le Parisien
2108,T.d.L
2109,David Opoczynski
2110,Marjorie Lenhardt
2111,Le Parisien avec AFP
2112,J.Cl.
2113,Guénaèle Calant
2114,sans auteur
2115,Faustine Léo
2116,sans auteur
2117,J.Cl.
2118,Victor Alexandre
2119,J.M.
2120,Le Parisien
2121,N.R.
2122,Jean-Gabriel Bontinck
2123,sans auteur
2124,sans auteur
2125,"Benjamin Derveaux, avec Patrick Caffin et Faustine Léo"
2126,Nicolas Berrod
2127,Aurélie Ladet
2128,J.M. avec AFP
2129,Solenne Durox
2130,Catherine Lagrange
2131,Frédéric Durand
2132,Frédéric Durand
2133,Marie Briand-Locu
2134,Aubin Laratte
2135,"Le Parisien, avec AFP"
2136,J.M. avec AFP
2137,J.Cl.
2138,Julie Rimbert
2139,sans auteur
2140,Gilles Tournoux
2141,Martin Antoine
2142,Dr Martine Perez
2143,M.F.
2144,Florence Hubin
2145,sans auteur
2146,Virginie de Kerautem
2147,Le Parisien avec AFP
2148,Florence Hubin
2149,Émilie Torgemen
2150,Florence Hubin
2151,J.Cl. avec AFP et Reuters
2152,Le Parisien avec AFP
2153,Nicolas Goinard
2154,J.M. avec AFP
2155,Le Parisien avec AFP
2156,Le service Société
2157,Olivier Corsan
2158,Aline Gérard
2159,Alexandre Sulzer
2160,Catherine Balle
2161,Grégory Plouviez
2162,"Victor Fortunato, J.P."
2163,Eric Bruna
2164,"Ronan Folgoas, envoyé spécial à Montargis (Loiret), Toulouse (Haute-Garonne) et Gaillac (Tarn)"
2165,Kevin Boucher
2166,Aymeric Renou
2167,Matthieu Pelloli
2168,Émilie Torgemen et Florence Méréo
2169,Le Parisien
2170,"Jean Saint-Marc, envoyé spécial à Toulon (Var)"
2171,Anthony Faure et Laurent Pruneta
2172,Aubin Laratte
2173,Eric Michel
2174,Le Parisien avec AFP
2175,Florence Méréo
2176,Matthieu Pelloli et Vincent Vérier
2177,J.L. avec AFP
2178,"Jean Saint-Marc, correspondant à Marseille (Bouches-du-Rhône)"
2179,Christophe Levent
2180,Le Parisien
2181,David Opoczynski
2182,C.L.
2183,Le Parisien avec AFP
2184,"Romain Daveau, avec AFP"
2185,L.P.
2186,Denis Courtine et Caroline Piquet
2187,Romain Daveau
2188,Le Parisien
2189,sans auteur
2190,C.C.
2191,Rosalie Lucas
2192,E.M.
2193,Hendrik Delaire
2194,Sébastien Roselé
2195,Hendrik Delaire
2196,Agnès Vives avec M.L.
2197,A.L.
2198,Marine Legrand avec S.D.
2199,Le Parisien avec AFP
2200,sans auteur
2201,sans auteur
2202,sans auteur
2203,sans auteur
2204,sans auteur
2205,sans auteur
2206,Philippe Baverel
2207,Florence Méréo
2208,Bénédicte Agoudetsé
2209,Cécile Chevallier
2210,"Laura-Maï Gaveriaux, correspondante au Caire (Egypte)"
2211,Sandrine Lefèvre
2212,Christophe Lefevre et Anne Collin
2213,Anne Collin
2214,Marine Legrand
2215,Romain Porée
2216,Simon Gourru
2217,Julien Lesage
2218,Le Parisien
2219,David Opoczynski
2220,Vincent Vérier
2221,Carine Didier
2222,Clarisse Crémer
2223,Henri Vernet
2224,Marjorie Lenhardt
2225,Alexandre Arlot
2226,Céline Carez
2227,Céline Carez
2228,Julie Ménard
2229,Vincent Vérier
2230,Le Parisien avec AFP
2231,Guénaèle Calant
2232,Le Parisien
2233,Eric Michel
2234,Zoé Lauwereys
2235,E.M.
2236,C.G.
2237,Catherine Balle
2238,Le Parisien avec AFP
2239,C.L.
2240,J.M. avec AFP
2241,J.L.
2242,Le Parisien avec AFP
2243,Laurent Pruneta
2244,Michel Valentin
2245,Damien Licata Caruso
2246,Frédéric Naizot
2247,C.G.
2248,J.L. avec AFP
2249,J.L.
2250,Bertrand Métayer
2251,Le Parisien avec AFP
2252,O.B.
2253,Le Parisien
2254,Élodie Soulié
2255,Le Parisien avec AFP
2256,Jila Varoquier
2257,Patrick Caffin
2258,Stéphanie Forestier
2259,Bartolomé Simon
2260,Fanny Delporte
2261,N.B. avec Rosalie Lucas
2262,Le Parisien
2263,sans auteur
2264,sans auteur
2265,sans auteur
2266,J.M. avec AFP
2267,Le Parisien avec AFP
2268,Valentine Rousseau
2269,Michaël Zoltobroda
2270,Le Parisien avec AFP
2271,Nora Moreau
2272,Sarah Belmont
2273,Jannick Alimi
2274,Claire Duhamel
2275,C.Ba.
2276,Diane Andrésy
2277,Julien Constant
2278,Le Parisien avec AFP
2279,le service Télévision
2280,sans auteur
2281,sans auteur
2282,sans auteur
2283,sans auteur
2284,Christian Goutorbe
2285,Adeline Daboval
2286,Le Parisien avec AFP
2287,Lionel Chami
2288,Bertrand Fizel
2289,Renaud Baronian
2290,Charles de Saint Sauveur
2291,Le Parisien
2292,Catherine Gasté
2293,Julien Solonel
2294,Guillaume Georges
2295,Le Parisien avec AFP
2296,"A.L., L.G. et J.M."
2297,sans auteur
2298,sans auteur
2299,sans auteur
2300,sans auteur
2301,sans auteur
2302,Julien Solonel
2303,Kevin Boucher (avec Carine Didier)
2304,Louise Colcombet
2305,Eric Michel
2306,Pauline Conradsson
2307,"Anthony Faure, correspondant à Saint-Etienne (Loire)"
2308,Quentin Laurent
2309,Benoit Daragon et Marie-Christine Tabet
2310,Catherine Balle et Benoît Daragon
2311,A.L.
2312,Victor Tassel
2313,A.L. avec AFP
2314,Romain Daveau
2315,A.L. avec AFP
2316,Laurent Pruneta
2317,Le Parisien
2318,Le Parisien
2319,"Maya Carrère, notre correspondante à Londres (avec Emilie Torgemen)"
2320,J.L.
2321,David Opoczynski
2322,Alexandre Sulzer
2323,David Opoczynski
2324,Frédéric Gouaillard (avec D.S.)
2325,C.C.
2326,Aubin Laratte
2327,Eric Michel
2328,Romain Daveau
2329,Catherine Balle
2330,C.Ba.
2331,"Olivier Beaumont, Elsa Mari, Florence Méréo et Matthieu Pelloli"
2332,A.L. avec AFP
2333,Florian Garcia
2334,Rosalie Lucas
2335,C.C.
2336,Le Parisien
2337,sans auteur
2338,J.L.
2339,sans auteur
2340,sans auteur
2341,C.L.
2342,Ju. M.
2343,Marjorie Lenhardt
2344,Eric Michel
2345,A.R.
2346,Le Parisien avec AFP
2347,Paméla Rougerie avec Charlotte Robinet
2348,Romain Daveau
2349,Hendrik Delaire
2350,Eric Michel
2351,L.G.
2352,A.L. avec AFP
2353,"Bertrand Fizel, correspondant à Cherbourg (Manche)"
2354,Stéphanie Forestier
2355,Stéphanie Guerrin
2356,Jérémie Pham-Lê
2357,Le Parisien
2358,Renaud Baronian
2359,Marine Legrand
2360,Laurent Pruneta
2361,Julie Ménard
2362,Florent Hélaine
2363,Florent Hélaine
2364,J.L.
2365,Guénaèle Calant
2366,Juliette Duclos
2367,Eric Michel
2368,Le Parisien
2369,Laurent Pruneta
2370,"Chloé Belleret, envoyée spéciale au Sénégal"
2371,Stéphanie Guerrin
2372,Le Parisien avec AFP
2373,Le Parisien avec AFP
2374,Le Parisien avec AFP
2375,Julien Constant et Denis Courtine
2376,J.M. avec AFP
2377,C.M. avec AFP
2378,Michaël Zoltobroda
2379,Denis Courtine
2380,J.M. avec AFP
2381,Le Parisien avec AFP
2382,Julie Olagnol
2383,Le Parisien avec AFP
2384,Frédéric Gouaillard
2385,sans auteur
2386,sans auteur
2387,Florence Méréo
2388,sans auteur
2389,Le Parisien avec AFP
2390,F.L.
2391,sans auteur
2392,sans auteur
2393,Christophe Bérard
2394,Nicolas Berrod
2395,Nathalie Revenu
2396,Le Parisien avec AFP
2397,J.M. avec AFP
2398,Delphine Denuit
2399,sans auteur
2400,sans auteur
2401,Sébastien Blondé
2402,sans auteur
2403,C.Ba.
2404,Martin ANTOINE
2405,Franck Lagier
2406,sans auteur
2407,sans auteur
2408,Le Parisien avec AFP
2409,J.M.
2410,Paul Périé
2411,Valeria Dragoni
2412,Isabelle Boidanghein
2413,Joséphine Lebard
2414,Valentine Rousseau
2415,le service Télévision
2416,Benjamin Derveaux
2417,Olivier François
2418,J.M. avec AFP
2419,Vincent Mongaillard
2420,Lionel Chami
2421,David Opoczynski
2422,Le Parisien
2423,Vincent Mongaillard
2424,L.PR. avec  J.S.M à Marseille
2425,Romain Baheux
2426,Emeline Collet et Marie Poussel
2427,Emeline Collet
2428,Céline Carez
2429,Florian Loisy et Bérangère Lepetit
2430,Laurent Pruneta Bien décidé à rester au club
2431,David Opoczynski
2432,Frédéric Gouaillard
2433,Aubin Laratte
2434,Frédéric Gouaillard
2435,Dominique Sévérac
2436,David Opoczynski
2437,Le Parisien avec AFP
2438,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
2439,Le Parisien avec AFP
2440,Ph.L. avec AFP
2441,Le Parisien
2442,Julien Duffé
2443,Sébastien Morelli
2444,Timothée Talbi
2445,Vincent Gautronneau
2446,Marcelo Wesfreid
2447,Sandrine Lefèvre
2448,Frédéric Naizot
2449,Valentine Rousseau
2450,Stéphanie Guerrin
2451,Julien Lesage
2452,Le Parisien avec AFP
2453,Elsa Marnette
2454,Olivier François (avec R. BX.)
2455,Florent Hélaine
2456,Nolwenn Cosson (avec C.Ch.)
2457,A.L.
2458,D.S.
2459,Julien Lesage
2460,Pauline Théveniaud
2461,"Vincent Gautronneau, avec Nicolas Goinard"
2462,Le Parisien avec AFP
2463,Le Parisien
2464,F.V.D.P.
2465,Sylvain Deleuze
2466,Aymeric Renou et Maxime François (avec Rosalie Lucas)
2467,Agnès Vives
2468,A.L.
2469,Le Parisien avec AFP
2470,Simon Gourru
2471,Gérald Moruzzi
2472,F.G.
2473,Carole Sterlé
2474,Stéphanie Forestier
2475,Thomas Poupeau
2476,F.V.D.P.
2477,Julien Constant et Thomas Segissement
2478,Sylvain Merle
2479,Le Parisien avec AFP
2480,Le Parisien avec AFP
2481,Pauline Conradsson
2482,C.Si.
2483,Anissa Hammadi
2484,Frédéric Gouaillard
2485,Catherine Balle
2486,Le Parisien
2487,Thomas Segissement
2488,sans auteur
2489,Timothée Talbi
2490,L’équipe de Code source
2491,Sébastien Roselé
2492,Guénaèle Calant
2493,sans auteur
2494,Timothée Boutry
2495,Frédéric Gouaillard
2496,A.L.
2497,Sébastien Birden et Julie Ménard
2498,sans auteur
2499,sans auteur
2500,Aymeric Renou
2501,Elsa Marnette (avec Anthony Lieures)
2502,"Le Parisien, avec Reuters"
2503,Ludwig Gallet
2504,Olivier Bureau
2505,Christophe Levent
2506,Maxime François
2507,Sandrine Bajos
2508,sans auteur
2509,"Frank Ragaine, notre correspondant à Los Angeles (Etats-Unis)"
2510,Eric Bruna et Sandrine Lefèvre
2511,Sébastien Birden (avec M.S.)
2512,"Renaud Baronian, Pauline Conradsson, Stéphanie Guerrin, Michel Valentin"
2513,Nicolas Berrod
2514,sans auteur
2515,D.L.
2516,Romain Porée
2517,sans auteur
2518,sans auteur
2519,Le Parisien
2520,Sébastian Compagnon
2521,sans auteur
2522,Le Parisien avec AFP
2523,Romain Baheux
2524,sans auteur
2525,le service Télévision
2526,Laurent Pruneta
2527,sans auteur
2528,Le Parisien avec AFP
2529,Le Parisien avec AFP
2530,Harold Marchetti
2531,Sophie Bordier
2532,S.C.
2533,Le Parisien avec AFP
2534,Ronan Tésorière avec Cyril Simon
2535,Le Parisien
2536,Frédéric Naizot
2537,Jérémie Pham-Lê
2538,Elodie Soulié
2539,Jérémie Pham-Lê
2540,Timothée Boutry
2541,Pascale De Souza
2542,Le Parisien
2543,J.Cl. avec AFP
2544,Marie Persidat
2545,Benjamin Derveaux
2546,J. PL. et M.C.
2547,François-Xavier Rivaud
2548,Hélène Haus
2549,Antoine Castagné
2550,Le Parisien avec AFP
2551,Le Parisien avec AFP
2552,Arnaud Detout
2553,Hervé Sénamaud
2554,"Carole André, à Vitré (Ille-et-Vilaine)"
2555,S. Co. avec AFP
2556,Nicolas Berrod
2557,Bertrand Métayer
2558,Victor Tassel
2559,Le Parisien avec AFP
2560,Victor Tassel
2561,Le Parisien avec AFP
2562,Le Parisien avec AFP
2563,Laurent Derouet
2564,D.L.
2565,Le Parisien avec AFP
2566,Simon Gourru
2567,sans auteur
2568,Julien Constant
2569,Aurélie Sipos
2570,Le Parisien
2571,sans auteur
2572,sans auteur
2573,Le Parisien avec AFP
2574,Ch.B.
2575,A.C.
2576,Eric Le Mitouard
2577,sans auteur
2578,Romain Chiron
2579,Olivier Bureau
2580,Le Parisien avec AFP
2581,Sébastien Roselé (avec T.S. et S.B.)
2582,Marie Persidat
2583,Anissa Hammadi
2584,Élodie Soulié
2585,Ronan Tésorière
2586,sans auteur
2587,S. Co. avec AFP
2588,Mickaël Sizine
2589,Sophie Stadler
2590,J.Cl.
2591,sans auteur
2592,sans auteur
2593,Hendrik Delaire
2594,Stéphanie Guerrin
2595,"Le Parisien, avec AFP"
2596,Laurent Pruneta
2597,sans auteur
2598,Franck Lagier
2599,"Le Parisien, avec AFP"
2600,Claire Gandanger
2601,Agnès Vives
2602,Lou Garçon
2603,Esteban Pinel
2604,Gabriel Jaquemet
2605,Christophe Lacaze-Eslous
2606,Cyril Michaud
2607,C. L.-E.
2608,Renaud Baronian
2609,Stéphanie Guerrin
2610,J.Cl.
2611,sans auteur
2612,C. D. avec AFP
2613,sans auteur
2614,Ronan Folgoas avec J. P.-L.
2615,Le Parisien avec AFP
2616,sans auteur
2617,sans auteur
2618,"Le Parisien, avec AFP"
2619,Anne-Laure Abraham
2620,S. Co. avec AFP
2621,Kevin Boucher
2622,sans auteur
2623,Arnaud Detout
2624,Anne-Laure Abraham
2625,J.Cl. avec AFP
2626,Alexandre Seba
2627,Yves Jaeglé
2628,Valentine Rousseau
2629,Pauline Théveniaud
2630,Le Parisien
2631,"Victor Fortunato, J.Cl., J.P."
2632,Le Parisien avec AFP
2633,Frédéric Gouaillard
2634,Yves Leroy (avec Jean-Michel Décugis)
2635,Elsa Mari
2636,Delphine Kargayan
2637,Sandrine Bajos
2638,Pascale Egré
2639,Le Parisien
2640,Le Parisien avec AFP
2641,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
2642,Le Parisien avec AFP
2643,E.J.
2644,Le Parisien avec AFP
2645,Romain Baheux
2646,Harold Marchetti (avec Ch. B)
2647,Elsa Mari
2648,Yves Jaeglé
2649,Frédéric Naizot
2650,Elsa Mari et Yves Leroy
2651,Thomas Poupeau
2652,Bartolomé Simon
2653,Le Parisien avec AFP
2654,Jean-Michel Décugis et Jérémie Pham-Lê
2655,Timothée Boutry
2656,Hélène Haus
2657,Céline Carez
2658,Victor Tassel
2659,Le Parisien avec AFP
2660,Yann Foreix
2661,Caroline Piquet
2662,"Benoit Daragon, Christel Brigaudeau et Séverine Cazes, Jean-Michel Décugis et Jérémie Pham-Lê"
2663,D.D.
2664,Le Parisien avec AFP
2665,Frédéric Naizot
2666,E.J avec AFP
2667,Christophe Lefevre
2668,Jean Saint-Marc
2669,Sophie Bordier
2670,Thomas Segissement
2671,E.B.
2672,Valeria Dragoni
2673,Christel Brigaudeau
2674,Delphine Denuit
2675,Anne-Sophie Damecour
2676,David Doukhan
2677,Delphine Perez
2678,Frédéric Mouchon
2679,Marie-Anne Gairaud
2680,Le Parisien
2681,Stéphane Bianchi
2682,Propos recueillis par M.-A. G.
2683,Olivier Bureau
2684,Le Parisien avec AFP
2685,L’équipe de Code source
2686,Anne Collin
2687,Jila Varoquier
2688,J.P. avec AFP
2689,Sébastien Birden
2690,Florian Loisy
2691,Julie Ménard
2692,Christine Henry
2693,Dominique Sévérac
2694,N.R.
2695,Hervé Sénamaud
2696,sans auteur
2697,Sylvain Deleuze
2698,Frédéric Mouchon
2699,Christophe Levent
2700,sans auteur
2701,Le Parisien avec AFP
2702,Marjorie Lenhardt et Olivier Bureau
2703,Cécile Chevallier
2704,Anthony Lieures
2705,Le Parisien avec AFP
2706,sans auteur
2707,sans auteur
2708,Le Parisien avec AFP
2709,Gwenael Bourdon
2710,N.R.
2711,Ronan Tésorière
2712,Laurent Guez
2713,Romain Baheux
2714,Le Parisien avec AFP
2715,"Le Parisien, avec AFP"
2716,Gérald Moruzzi
2717,Vincent Gautronneau
2718,sans auteur
2719,Thomas Poupeau
2720,sans auteur
2721,Marine Legrand
2722,Jean-Michel Décugis et Jérémie Pham-Lê
2723,Christophe Bérard
2724,Ph.L. avec AFP
2725,Damien Licata Caruso
2726,Emeline Collet
2727,David Opoczynski avec D.S.
2728,Antoine Castagné
2729,sans auteur
2730,Florent Hélaine
2731,Nicolas Berrod
2732,Guénaèle Calant
2733,le service Télévision
2734,sans auteur
2735,Anne Collin
2736,Le Parisien avec AFP
2737,E.B.
2738,E.J
2739,Clémence Bauduin
2740,sans auteur
2741,Le Parisien
2742,Le Parisien avec AFP
2743,Marie Briand-Locu
2744,Nicolas Berrod
2745,sans auteur
2746,Romain Chiron
2747,S.N.
2748,La rédaction de Seine-et-Marne (avec F.H.)
2749,Le Parisien
2750,Agnès Vives
2751,Aurélie Sipos
2752,Julien Constant
2753,Laurent Derouet
2754,Alexis Bisson
2755,Le Parisien
2756,F.V.D.P.
2757,Catherine Balle avec AFP
2758,Guénaèle Calant
2759,Olivier Beaumont
2760,Sébastien Thomas
2761,Le Parisien avec AFP
2762,Hélène Haus
2763,Le Parisien
2764,Esteban Pinel
2765,Le Parisien avec AFP
2766,François-Xavier Rivaud
2767,Frédéric Durand
2768,Romain Baheux
2769,C.M.
2770,Delphine Perez
2771,Ph.L. avec AFP
2772,N.R.
2773,S.N.
2774,Cécile Beaulieu
2775,"Florian Garcia et Bartolomé Simon (avec N.C., F.L. et S.D.)"
2776,Philippe Baverel
2777,H.M. ET L.Pr
2778,Le Parisien
2779,sans auteur
2780,Sébastien Blondé
2781,Hadrien Gonzales
2782,Marine Legrand
2783,Nathalie Helal
2784,H.M.
2785,C.L.
2786,Le Parisien
2787,sans auteur
2788,Sylvia Vaisman
2789,Sébastien Thomas
2790,Propos recueillis par Philippe Baverel
2791,Le Parisien avec AFP
2792,Hervé Sénamaud
2793,Nathalie Helal
2794,Le Parisien
2795,sans auteur
2796,Jannick Alimi
2797,Salomé Dubart
2798,sans auteur
2799,Le Parisien
2800,sans auteur
2801,Delphine Brunet
2802,Nicolas Berrod
2803,Ph.L. avec AFP
2804,Le Parisien avec AFP
2805,Bertrand Fizel
2806,Martin Antoine
2807,Diane Andrésy
2808,Victor Alexandre et Stanislas de Livonnière
2809,Eric Bruna
2810,Stéphanie Guerrin
2811,Le Parisien
2812,Anne-Sophie Damecour
2813,Le Parisien avec AFP
2814,E.M.
2815,Michaël Zoltobroda
2816,Le Parisien avec AFP
2817,Timothée Talbi
2818,Romain Chiron
2819,sans auteur
2820,Ph.L. avec AFP
2821,Le Parisien avec AFP
2822,Le Parisien
2823,Mehdi Gherdane
2824,Le Parisien avec AFP
2825,Michel Valentin
2826,Marie Poussel
2827,Bérangère Lepetit et Victor Tassel
2828,Christophe Bérard et Anthony Faure
2829,Christophe Levent
2830,S. Co. avec AFP
2831,Le Parisien avec AFP
2832,Yann Foreix
2833,Le Parisien avec AFP
2834,Le Parisien avec AFP
2835,Stéphanie Guerrin
2836,Alain Pernot
2837,Christophe Levent
2838,Odile Plichon
2839,S.Co. J.Cl. et M.Ca.
2840,Stéphane Bianchi
2841,"Solenne Durox, envoyée spéciale à Plaintel (Côtes-d’Armor)"
2842,"Catherine Balle, Yves Jaeglé et Stéphanie Guerrin"
2843,F.V.D.P.
2844,Olivier François (avec S. N.)
2845,Thomas Poupeau
2846,"Thomas Poupeau, envoyé spécial à Amiens (Somme)"
2847,Le Parisien avec AFP
2848,Le Parisien avec AFP
2849,C.Si. avec AFP
2850,"Jean Saint-Marc, correspondant à Marseille (Bouches-du-Rhône)"
2851,Arnaud Detout
2852,J.P. avec AFP
2853,Cécile Beaulieu et Eric Le Mitouard
2854,Le Parisien
2855,Marcelo Wesfreid
2856,"Marion Ducrocq, Avec AFP"
2857,Ronan Tésorière
2858,Valérie Hacot et M.W.
2859,Frédéric Naizot
2860,Christine Henry
2861,A.L.
2862,Timothée Boutry
2863,Ronan Tésorière
2864,Yves Leroy (avec Nicolas Berrod)
2865,Anthony Lieures
2866,Le Parisien avec AFP
2867,Le Parisien
2868,Le Parisien avec AFP
2869,Li.C.
2870,Cécile Chevallier
2871,Guillaume Georges
2872,Le Parisien
2873,Gérald Moruzzi
2874,Ph.L. avec AFP
2875,Pauline Théveniaud
2876,Jannick Alimi et Quentin Laurent
2877,Thomas Segissement
2878,Le Parisien avec AFP
2879,Eric Michel
2880,La rédaction du Val-d’Oise (avec F.H.)
2881,Cécile Chevallier
2882,Carine Didier
2883,Ph.L. avec AFP
2884,Sylvie De Macedo
2885,Olivier Bureau et Marjorie Lenhardt
2886,Le Parisien
2887,Le Parisien avec AFP
2888,Le Parisien
2889,Anne Collin
2890,Aurélie Ladet
2891,Marine Legrand avec Jean-Michel Décugis et Sylvain Deleuze
2892,Le Parisien avec AFP
2893,David Livois
2894,Pascale De Souza
2895,L’équipe de Code source
2896,Le Parisien
2897,Romain Baheux et Frédéric Gouaillard
2898,Ph.L. avec agences
2899,Mickaël Sizine et Sébastien Birden
2900,sans auteur
2901,Guénaèle Calant
2902,sans auteur
2903,Thomas Segissement (avec G.C.)
2904,Anne-Sophie Damecour
2905,Marie Campistron
2906,Julien Barbare
2907,sans auteur
2908,"Marion Ducrocq, avec AFP"
2909,David Doukhan
2910,Florent Hélaine
2911,Le Parisien avec AFP
2912,Le Parisien
2913,Sébastien Nieto
2914,sans auteur
2915,Hendrik Delaire
2916,Eric Le Mitouard
2917,Sandrine Lefèvre
2918,Valentine Rousseau
2919,Le Parisien avec AFP
2920,sans auteur
2921,Le Parisien
2922,Henri Vernet
2923,Eric Bruna
2924,Damien Licata Caruso
2925,sans auteur
2926,Sylvain Deleuze (avec Denis Courtine)
2927,Nathalie Revenu
2928,Sandrine Bajos
2929,Le service Spectacles
2930,Nathalie Revenu
2931,sans auteur
2932,Cécile Chevallier
2933,sans auteur
2934,Sylvie De Macedo
2935,Thibault Chaffotte
2936,Aurélie Sipos
2937,sans auteur
2938,Odile Plichon (avec Sylvie De Macedo)
2939,sans auteur
2940,sans auteur
2941,Le Parisien
2942,Claire Guédon
2943,"Le Parisien, avec AFP"
2944,M.Len. et L.M.
2945,sans auteur
2946,Céline Carez
2947,Julien Constant
2948,sans auteur
2949,Ph.L. avec AFP
2950,le service Télévision
2951,Juliette Mansour
2952,sans auteur
2953,Aymeric Renou
2954,Marine Legrand
2955,Denis Courtine et Florian Loisy
2956,Le Parisien
2957,Ph.L.
2958,Le Parisien avec AFP
2959,Clémence Bauduin
2960,Sébastien Birden
2961,Julie Ménard
2962,Alexis Bisson
2963,Le Parisien
2964,Le Parisien avec AFP
2965,Bertrand Métayer
2966,Denis Courtine et Sébastien Morelli
2967,Carole Sterlé
2968,Sophie Bordier
2969,Carole Sterlé
2970,Le Parisien avec AFP
2971,Klervi Le Cozic
2972,Guénaèle Calant
2973,Martin Antoine
2974,Hervé Sénamaud
2975,Christine Henry (avec N.M.)
2976,Le Parisien
2977,Le Parisien avec AFP
2978,David Charpentier
2979,sans auteur
2980,Le Parisien avec AFP
2981,Romain Porée
2982,Christine Mateus
2983,Le Parisien avec AFP
2984,Ronan Tésorière
2985,Sébastien Nieto avec H.M.
2986,Nolwenn Cosson
2987,G.B.
2988,Julien Constant
2989,Juliette Mansour
2990,Le Parisien avec AFP
2991,Le Parisien avec AFP
2992,Olivier Beaumont
2993,Agnès Vives
2994,S.N.
2995,Le Parisien avec AFP
2996,sans auteur
2997,sans auteur
2998,"Bartolomé Simon, envoyé spécial à Faulquemont (Moselle) et Vincent Gautronneau"
2999,Le Parisien avec AFP
3000,Le Parisien
3001,sans auteur
3002,sans auteur
3003,Le Parisien avec AFP
3004,Jean-Gabriel Bontinck
3005,sans auteur
3006,Nathalie Revenu
3007,Le Parisien avec AFP
3008,T.d.L
3009,Julien Barbare
3010,J.Cl.
3011,Esteban Pinel
3012,sans auteur
3013,David Livois
3014,Aubin Laratte
3015,Le Parisien avec AFP
3016,sans auteur
3017,C. L.-E.
3018,Le Parisien avec AFP
3019,Jila Varoquier avec Vincent Verier
3020,sans auteur
3021,Simon Gourru
3022,Lou Garçon
3023,Lou Garçon
3024,Damien Licata Caruso
3025,Jannick Alimi et Henri Vernet
3026,Alexandre Seba
3027,Bertrand Fizel
3028,Marie Poussel
3029,Le Parisien
3030,Julie Cloris
3031,Adrien Lablanche
3032,Le Parisien avec AFP
3033,sans auteur
3034,sans auteur
3035,Le Parisien avec AFP
3036,Ottilia Ferey avec AFP
3037,Christophe Lacaze-Eslous
3038,Le Parisien
3039,sans auteur
3040,sans auteur
3041,Le Parisien
3042,Christophe Goudaillier
3043,sans auteur
3044,Le Parisien avec AFP
3045,sans auteur
3046,sans auteur
3047,Eric Michel
3048,Thomas Poupeau
3049,Marine Quinchon (avec S.T.)
3050,sans auteur
3051,Le Parisien avec AFP
3052,Olivier François et Eric Michel
3053,Vincent Vérier
3054,Erwan Benezet
3055,Le Parisien avec AFP
3056,Le Parisien avec AFP
3057,Alexandre Sulzer
3058,Thomas Poupeau
3059,"Jean Saint-Marc, correspondant à Marseille"
3060,"A.L., J.Cl. et I.P."
3061,"Arnaud Detout avec S.L., et F.V.D.P."
3062,Matthieu Pelloli
3063,Henri Vernet
3064,Charles de Saint Sauveur
3065,Elsa Mari
3066,Frédéric Mouchon
3067,Florian Loisy
3068,Le Parisien avec AFP
3069,Le Parisien avec AFP
3070,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
3071,Le Parisien avec AFP
3072,Sandrine Bajos
3073,Le Parisien avec AFP
3074,Marie Briand-Locu
3075,Le Parisien avec AFP
3076,F.G.
3077,Sébastian Compagnon
3078,Maxime François
3079,Renaud Baronian
3080,Le Parisien avec AFP
3081,Le Parisien avec AFP
3082,Julie Olagnol avec AFP
3083,Jean-Gabriel Bontinck et Hendrik Delaire
3084,Agnès Vives
3085,Salomé Dubart
3086,Yves Leroy
3087,Charles de Saint Sauveur
3088,Cécile Chevallier
3089,Le Parisien avec AFP
3090,F.V.D.P.
3091,Le Parisien avec AFP
3092,Florence Méréo
3093,La rédaction de l’édition de Seine-Saint-Denis
3094,"Ronan Folgoas, avec Jérémie Pham-Lê"
3095,Anne Collin
3096,Timothée Boutry
3097,Michel Valentin
3098,Ph.L. avec AFP
3099,sans auteur
3100,Le Parisien
3101,Guénaèle Calant
3102,J.L.
3103,Frédéric Gouaillard
3104,Le Parisien avec AFP
3105,Le Parisien avec AFP
3106,Le Parisien avec AFP
3107,Sandrine Lefèvre
3108,Dominique Sévérac
3109,Eric Michel
3110,Bartolomé Simon (avec Florian Garcia et Nolwenn Cosson)
3111,D.L.
3112,Delphine Perez
3113,David Doukhan
3114,sans auteur
3115,L’équipe de Code source
3116,Sylvain Deleuze
3117,Olivier Beaumont
3118,Jean-Gabriel Bontinck avec Victor Alexandre
3119,Juliette Duclos
3120,sans auteur
3121,Le Parisien avec AFP
3122,M.-A. G.
3123,Marion Kremp
3124,F.V.D.P.
3125,Marine Legrand
3126,D.L.
3127,Eric Le Mitouard
3128,Le Parisien avec AFP
3129,Christophe Bérard
3130,Florence Méréo
3131,Gilles Tournoux
3132,C.Si.
3133,Le Parisien avec AFP
3134,Julie Olagnol
3135,Elsa Marnette
3136,Le Parisien avec AFP
3137,Gaël Lombart
3138,R.Bx.
3139,Sébastien Morelli
3140,Mehdi Gherdane
3141,Victor Tassel
3142,Sébastien Nieto
3143,Antoine Castagné
3144,Hervé Sénamaud
3145,Jannick Alimi
3146,Le Parisien avec AFP
3147,Julien Constant et Denis Courtine
3148,Aubin Laratte
3149,Le Parisien avec AFP
